time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-26T20:02:41.002Z,40.849,28.1699,10,4.5,mb,,73,1.611,1.01,us,us70005s19,2019-12-20T19:04:23.040Z,"22km SE of Marmaraereglisi, Turkey",earthquake,5.7,1.9,0.542,1,reviewed,us,us
2019-09-26T10:59:25.648Z,40.9035,28.1502,8,5.7,mww,,19,1.595,0.9,us,us70005lkl,2019-12-20T19:02:48.040Z,"18km ESE of Marmaraereglisi, Turkey",earthquake,5.2,1.8,0.033,88,reviewed,us,us
2019-09-24T08:00:24.160Z,40.8578,28.1454,10,4.9,mb,,39,1.592,1.23,us,us60005mmr,2019-12-20T19:02:02.040Z,"20km SE of Marmaraereglisi, Turkey",earthquake,5.1,1.9,0.067,70,reviewed,us,us
2019-06-02T13:08:47.500Z,40.7824,30.7838,5.39,4.5,mwr,,27,0.442,0.37,us,us70003uej,2019-08-24T21:17:49.040Z,"3km ESE of Hendek, Turkey",earthquake,4.1,5.1,0.071,19,reviewed,us,us
2014-07-03T05:04:46.230Z,40.2083,27.9282,12.1,4.6,mwr,,,,0.77,us,usc000rpuu,2014-10-04T19:59:52.000Z,"16km SSW of Bandirma, Turkey",earthquake,,4.7,0.065,23,reviewed,isk,us
2013-11-27T04:13:37.390Z,40.851,27.9198,9.6,4.5,mb,,,,0.82,us,usb000l74s,2015-01-31T03:07:26.904Z,"13km SSW of Marmaraereglisi, Turkey",earthquake,,4.4,0.151,,reviewed,isk,us
2012-06-07T20:54:25.840Z,40.848,27.921,14.9,4.9,mb,208,30.6,,,us,usp000jmg2,2015-03-24T01:30:12.736Z,"western Turkey",earthquake,,,,51,reviewed,isk,us
2011-07-25T17:57:20.610Z,40.802,27.752,16.4,5.1,mwc,198,34.2,,,us,usp000j5g9,2015-03-24T01:19:20.505Z,"western Turkey",earthquake,,,,,reviewed,isk,gcmt
2011-07-11T16:09:12.960Z,40.247,29.954,5,4.5,mb,144,38.8,,,us,usp000j4ns,2015-03-24T02:08:27.963Z,"western Turkey",earthquake,,,,25,reviewed,isk,us
2010-12-31T20:57:36.720Z,40.597,27.367,8.6,4.5,ml,33,44.7,,,us,usp000hscm,2014-11-07T01:43:16.932Z,"western Turkey",earthquake,,,,,reviewed,isk,the
2009-01-24T15:58:38.000Z,40.798,27.785,11.2,4.6,ml,56,37.7,,,us,usp000gt21,2014-11-07T01:38:14.799Z,"western Turkey",earthquake,,,,,reviewed,isk,the
2006-12-19T19:15:37.000Z,40.391,28.321,11.1,4.6,mb,25,84.6,,,us,usp000f0k6,2014-11-07T01:31:10.032Z,"western Turkey",earthquake,,,,1,reviewed,isk,us
2006-10-24T14:00:21.670Z,40.424,29.107,9.3,5,mwc,227,29.8,,1.15,us,usp000evxq,2016-11-10T01:30:07.540Z,"western Turkey",earthquake,,,,,reviewed,us,gcmt
2006-10-20T18:15:26.140Z,40.236,28.059,10,4.8,mb,276,21.6,,1.28,us,usp000evmd,2015-03-24T01:46:12.587Z,"western Turkey",earthquake,,0,,79,reviewed,us,us
2006-02-08T04:07:41.620Z,40.704,30.352,8.8,4.6,mb,75,61.3,,,us,usp000e9rd,2014-11-07T01:28:17.355Z,"western Turkey",earthquake,,,,8,reviewed,isk,us
2003-06-09T17:44:03.030Z,40.242,28.02,10,4.5,mb,216,77,,1.26,us,usp000bzge,2014-11-07T01:18:53.205Z,"western Turkey",earthquake,,,,71,reviewed,us,us
2000-08-23T13:41:28.140Z,40.68,30.72,15.3,5.3,mwc,352,,,,us,usp0009z1g,2017-04-26T17:57:40.570Z,"western Turkey",earthquake,,,,,reviewed,isk,hrv
2000-04-02T18:57:38.300Z,40.803,30.244,7,4.6,mb,,,,,us,usp0009qqa,2014-11-07T01:09:50.499Z,"western Turkey",earthquake,,,,46,reviewed,isk,us
1999-11-19T19:59:07.960Z,40.809,30.967,6.7,4.8,mb,,,,,us,usp0009hv2,2014-11-07T01:08:59.095Z,"western Turkey",earthquake,,,,52,reviewed,isk,us
1999-11-13T00:54:55.330Z,40.768,31.05,10,4.8,mb,,,,1.09,us,usp0009hgn,2014-11-07T01:08:57.757Z,"western Turkey",earthquake,,,,47,reviewed,us,us
1999-11-12T20:04:44.990Z,40.758,31.219,10,4.5,mb,,,,1.2,us,usp0009hfs,2014-11-07T01:08:57.661Z,"western Turkey",earthquake,,,,29,reviewed,us,us
1999-11-12T17:46:56.820Z,40.732,30.953,10,4.5,mb,,,,1.19,us,usp0009hf4,2014-11-07T01:08:57.607Z,"western Turkey",earthquake,,,,27,reviewed,us,us
1999-11-12T17:22:54.340Z,40.793,31.116,10,4.6,mb,,,,0.91,us,usp0009hf1,2014-11-07T01:08:57.589Z,"western Turkey",earthquake,,,,21,reviewed,us,us
1999-11-12T17:17:56.790Z,40.785,31.12,10,5.5,mb,,,,1.11,us,usp0009hf0,2014-11-07T01:08:57.576Z,"western Turkey",earthquake,,,,62,reviewed,us,us
1999-11-12T17:16:50.120Z,40.755,31.022,10,4.8,mb,,,,1.02,us,usp0009hez,2014-11-07T01:08:57.568Z,"western Turkey",earthquake,,,,30,reviewed,us,us
1999-11-12T16:57:19.550Z,40.758,31.161,10,7.2,mwc,,,,1.11,us,usp0009hev,2017-04-26T17:56:31.582Z,"western Turkey",earthquake,,,,,reviewed,us,hrv
1999-11-11T14:41:25.610Z,40.744,30.266,22,5.7,mwb,,,,,us,usp0009hd3,2017-04-26T17:56:30.990Z,"western Turkey",earthquake,,,,,reviewed,isk,us
1999-11-07T16:54:41.730Z,40.693,30.725,10,5,mwc,,,,1.14,us,usp0009h7v,2017-04-26T17:56:29.260Z,"western Turkey",earthquake,,,,,reviewed,us,hrv
1999-10-20T23:08:19.540Z,40.77,29.087,10,4.6,mb,,,,1.27,us,usp0009gax,2014-11-07T01:08:45.133Z,"western Turkey",earthquake,,,,42,reviewed,us,us
1999-09-29T00:13:05.580Z,40.739,29.346,10,5.2,mwc,,,,1.23,us,usp0009f5w,2017-04-26T17:56:20.582Z,"western Turkey",earthquake,,,,,reviewed,us,hrv
1999-09-20T21:27:59.200Z,40.644,27.589,10,4.8,mb,,,,1.18,us,usp0009era,2014-11-07T01:08:30.714Z,"western Turkey",earthquake,,,,56,reviewed,us,us
1999-09-18T00:48:24.660Z,40.607,29.297,10,4.5,mb,,,,1.05,us,usp0009ejt,2014-11-07T01:08:29.881Z,"western Turkey",earthquake,,,,47,reviewed,us,us
1999-09-13T11:55:28.180Z,40.709,30.045,13,5.9,mwb,,,,0.93,us,usp0009ede,2017-04-26T17:56:12.131Z,"western Turkey",earthquake,,,,,reviewed,us,us
1999-09-09T01:32:08.120Z,40.718,29.144,13.1,5,mb,,,,,us,usp0009e74,2014-11-07T01:08:27.645Z,"western Turkey",earthquake,,,,4,reviewed,isk,us
1999-08-31T08:33:23.830Z,40.708,29.954,10,4.5,mb,,,,1.13,us,usp0009dv9,2014-11-07T01:08:21.441Z,"western Turkey",earthquake,,,,76,reviewed,us,us
1999-08-31T08:10:49.530Z,40.711,29.949,10,5.2,mwc,,,,1.04,us,usp0009dv7,2017-04-26T17:56:11.013Z,"western Turkey",earthquake,,,,,reviewed,us,hrv
1999-08-26T17:49:38.080Z,40.744,30.016,10,4.8,mb,,,,1.08,us,usp0009dpe,2014-11-07T01:08:20.205Z,"western Turkey",earthquake,,,,1,reviewed,us,us
1999-08-22T14:30:58.860Z,40.638,30.773,10,4.5,mb,,,,1,us,usp0009dg7,2014-11-07T01:08:19.352Z,"western Turkey",earthquake,,,,48,reviewed,us,us
1999-08-20T09:28:54.780Z,40.58,29.274,10,4.5,mb,,,,1.12,us,usp0009dcb,2014-11-07T01:08:18.181Z,"western Turkey",earthquake,,,,33,reviewed,us,us
1999-08-19T15:17:45.040Z,40.618,29.138,10,5.2,mwc,,,,1.19,us,usp0009daz,2016-11-09T23:17:07.591Z,"western Turkey",earthquake,,,,,reviewed,us,hrv
1999-08-19T14:15:58.840Z,40.608,29.2,10,4.5,mb,,,,1.35,us,usp0009dav,2014-11-07T01:08:17.608Z,"western Turkey",earthquake,,,,39,reviewed,us,us
